"Native.ID","Network.ID","Network.Name","Station.ID","Station.Name","History.ID","Province","Longitude","Latitude","Elevation..m.","Record.Start","Record.End","Obs.Freq","Variables","TEMP"
"NTY",5,"BCH",2485,"North Tyaughton Ck,2485",2888,"BC",-122.7939167,51.14752778,1969,"1984-10-02","2024-10-31","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",9.67
"PAK",5,"BCH",2489,"Pack R. @ outlet of Mcleod Lk,2489",2892,"BC",-123.0366083,54.99784444,675,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",18.51
"PAR",5,"BCH",2490,"Parsnip Upper,2490",2893,"BC",-122.1458333,54.6125,790,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.29
"PMD",5,"BCH",2492,"GMS Hudson's Hope,2492",2895,"BC",-122.1835,56.0125,720,"1985-08-27","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",13.77
"PNK",5,"BCH",2493,"Pink Mtn.,2493",2896,"BC",-122.3535,57.00196667,1204,"1980-09-13","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",15.06
"PRS",5,"BCH",2494,"Parsnip R. ab Misinchinka R.,2494",2897,"BC",-122.9,55.08,700,"1983-09-16","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",17.37
"PUL",5,"BCH",2495,"Pulpit Lk,2495",2898,"BC",-126.7487833,57.54828333,1311,"1989-08-27","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",11.92
"PYN",5,"BCH",2496,"Pine Pass,2496",2899,"BC",-122.6373333,55.353,1400,"1988-10-27","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",12.29
"QBY",5,"BCH",2497,"Queen's Bay -  elevation,2497",2900,"BC",-116.9297222,49.65444444,545,"1987-05-30","2024-09-15","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",21.24
"SGL",5,"BCH",2502,"Sugar Lake Res. @ Outlet,2502",2905,"BC",-118.53,50.35,675,"1999-01-03","2024-09-13","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.78
